12.0,717.33,12.0,779.56,398.67,779.56,398.67,717.33,默认送钥匙扣，
431.56,712.0,436.67,774.67,790.67,772.44,790.67,712.0,小号不送礼物
570.22,602.67,570.22,631.11,716.0,631.11,716.0,602.67,香皂玫瑰花
477.78,594.67,477.78,634.67,519.56,634.67,519.56,594.67,送
121.33,620.44,121.33,648.89,307.11,648.89,307.11,620.44,（仓库随机发放）
140.89,584.0,140.89,608.89,286.67,608.89,286.67,584.0,公仔钥匙扣
44.0,594.67,44.0,635.56,86.67,635.56,86.67,594.67,送
385.33,409.78,385.33,442.67,417.33,442.67,417.33,409.78,或
210.22,147.56,210.22,193.78,588.89,193.78,588.89,147.56,精美礼品&二选一
212.89,34.67,212.89,90.67,585.33,90.67,585.33,34.67,精美礼品相赠
