362.73,11.23,362.73,42.57,428.36,42.57,428.36,11.23,OG
372.78,50.85,372.78,82.18,426.59,82.18,426.59,50.85,ES
178.85,20.1,178.85,88.69,462.65,88.69,462.65,20.1,满99包邮
0.3,34.88,4.43,73.91,10.94,74.5,6.21,33.7,###
76.57,162.0,76.57,201.62,427.77,201.62,427.77,162.0,华芯创科技有限公司
67.11,409.74,67.11,423.34,113.82,423.34,113.82,409.74,LCES
65.92,393.77,65.92,407.96,111.45,407.96,111.45,393.77,LOG
165.25,407.96,164.66,420.38,250.99,420.38,250.99,406.19,DEVICES
162.3,391.41,162.3,405.6,249.8,405.6,249.8,391.41,ANALOG
297.69,405.6,297.69,418.01,383.43,418.01,383.43,405.6,DEVICES
298.29,389.63,298.29,402.64,384.61,402.64,384.61,389.63,ANALOG
434.27,405.01,434.27,418.61,460.88,418.61,460.88,405.01,DE
436.05,389.63,436.05,403.82,467.38,403.82,467.38,389.63,AN
266.95,488.96,264.58,515.57,460.88,515.57,460.88,484.83,DEVICES
265.77,455.85,265.77,484.83,463.84,484.83,463.84,455.85,ANALOG
274.04,549.86,274.04,576.47,465.02,576.47,465.02,549.86,ANALOG
113.22,297.4,134.51,343.52,291.19,247.14,272.27,213.44,主营：ADI
73.02,397.91,93.71,441.66,394.66,257.19,371.6,215.81,原装正品假一赔
101.99,451.72,125.05,489.56,162.3,463.54,139.83,425.7,十
